Student_ID,Age,Gender,Education_Level,Course_Name,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Learning_Style,Feedback_Score,Dropout_Likelihood
S00001,-1.703185749280815,0,0,2,-0.595664043354978,1.3357548985767576,0.11935069145701191,-1.5782868082152388,1.1205815961799461,2,51,3,1,0
S00002,1.6758158364365041,1,2,3,-0.7015593712624566,1.3357548985767576,-0.028519166629646597,-1.7178581604508256,1.4086014582540385,2,92,2,5,0
S00003,-1.2062737513812092,0,2,3,-0.27091837110537703,-0.4458454996583311,-0.47212874088962214,-1.5782868082152388,-0.14670579694605992,2,45,2,1,0
S00004,0.4832270414774503,0,2,1,1.6493169082835681,-1.3366456987758755,0.020770786065906238,1.2829259126142902,-0.5499336038497892,0,59,3,4,0
S00005,0.1850798427376869,0,1,3,1.6987347279737248,0.44495469945921323,-0.2749689301074108,0.6548548275541497,1.0629776237651276,2,93,3,3,0
S00006,0.1850798427376869,1,2,4,-0.50388809250183,-1.3366456987758755,1.1051497453680685,0.6548548275541497,0.02610612029839546,2,43,3,4,0
S00007,1.2782862381168194,1,0,0,1.4022278098327847,0.44495469945921323,0.21793059684811758,1.4922829409676703,0.7749577616910355,1,37,1,5,0
S00008,1.4770510372766619,1,0,0,1.1974968425449928,-0.4458454996583311,-0.12709907202075227,-0.11278760974157763,-1.0107653831683368,0,35,2,5,0
S00009,1.5764334368565829,1,2,0,0.731557399752087,-1.3366456987758755,-0.2749689301074108,-1.0200013992728918,1.0629776237651276,2,49,2,2,0
S00010,1.2782862381168194,0,2,1,0.053827301144223995,1.3357548985767576,-0.07780911932519943,0.37571212308297613,1.6966213203281308,1,61,0,3,0
S00011,-0.3118321551619188,1,1,1,-0.059127715290419845,-1.3366456987758755,0.7601200764991988,1.213140236496497,0.8901657065206723,0,46,3,3,0
S00012,1.5764334368565829,1,2,3,-1.626378568321103,-1.3366456987758755,0.6122502184125402,0.7944261797897365,-0.6651415486794261,0,83,2,4,0
S00013,0.2844622423176081,1,0,3,-0.4615299613388385,-0.4458454996583311,1.598049272323597,-1.438715455979652,-1.1259733279979738,2,55,0,3,1
S00014,-0.3118321551619188,0,2,2,-0.10854553498057652,-0.4458454996583311,1.598049272323597,0.44549779920076954,1.6966213203281308,2,61,1,3,0
S00015,-1.6038033497008937,1,0,1,-0.6944996827352914,-1.3366456987758755,-1.704377558278443,1.4922829409676703,0.19891803754285084,2,49,0,4,0
S00016,1.1789038385368984,1,1,3,0.39975203897532074,1.3357548985767576,-0.5707086462807278,-0.2523589619771644,1.1781855685947646,0,78,1,4,0
S00017,0.4832270414774503,1,0,2,-0.11560522350774176,-1.3366456987758755,0.9079899345858573,1.3527115887320835,-0.2619137417756968,0,53,0,2,0
S00018,-0.8087441530615246,0,2,2,-0.7439175024254481,0.44495469945921323,1.6473392250191499,-0.3221446380949578,0.7749577616910355,2,62,1,5,0
S00019,0.5826094410573714,0,2,4,0.2938567110678421,1.3357548985767576,-1.704377558278443,1.213140236496497,-1.5868051073165215,1,86,3,4,0
S00020,0.7813742402172138,1,0,0,1.084541826110349,1.3357548985767576,-0.9650282678451505,-1.1595727515084786,-1.1259733279979738,1,37,3,4,0
S00021,1.5764334368565829,1,2,2,-0.23561992846955082,1.3357548985767576,0.020770786065906238,0.23614077084738935,1.466205430668857,2,44,3,4,0
S00022,-0.41121455474183993,1,1,0,-1.1251406828923711,0.44495469945921323,-0.6692885516718334,0.9339975320253233,0.7749577616910355,0,69,0,3,0
S00023,-0.8087441530615246,0,1,0,0.583303940681617,-0.4458454996583311,-1.6057976528873374,-0.6710730186839248,-0.8955574383386998,2,93,3,3,0
S00024,-0.41121455474183993,0,0,1,1.3881084327784543,-0.4458454996583311,1.006569839976963,1.7016399693210507,-1.413993190072066,2,68,3,4,0
S00025,0.7813742402172138,1,2,4,0.27973733401351164,-0.4458454996583311,0.9572798872814101,1.213140236496497,1.466205430668857,2,36,0,2,0
S00026,-0.9081265526414457,1,0,1,0.8162736620780698,-1.3366456987758755,0.11935069145701191,1.4922829409676703,0.5445418720317616,1,32,0,5,0
S00027,-0.21244975558199766,1,0,3,0.378572973393825,1.3357548985767576,-0.521418693585175,1.0037832081431166,-0.6075375762646076,2,90,3,2,1
S00028,-0.6099793539016822,1,1,0,1.6140184656477419,-0.4458454996583311,-0.2749689301074108,-0.6710730186839248,1.1205815961799461,1,87,3,4,0
S00029,-0.21244975558199766,0,2,0,-1.329871650180163,1.3357548985767576,1.6966291777147027,0.16635509472959595,1.1205815961799461,1,50,2,3,0
S00030,1.1789038385368984,1,2,4,1.0774821375831838,1.3357548985767576,-1.0143182205407033,1.3527115887320835,1.1781855685947646,2,65,1,4,0
S00031,-1.5044209501209724,0,1,2,0.14560325199737212,-0.4458454996583311,1.4501794142369384,0.44549779920076954,-0.49232963143497066,2,62,1,3,0
S00032,0.980139039377056,0,0,0,-1.2804538304900064,-1.3366456987758755,1.2037296507591744,0.44549779920076954,0.9477696789354908,0,55,1,3,0
S00033,-0.21244975558199766,0,2,1,0.6680202030075998,-0.4458454996583311,-0.521418693585175,1.7016399693210507,-1.0107653831683368,1,79,1,4,0
S00034,-0.7093617534816034,1,1,1,0.4632892357198079,1.3357548985767576,-0.9650282678451505,0.23614077084738935,-1.3563892176572476,0,61,3,5,0
S00035,-1.5044209501209724,2,2,4,-1.216916633745519,1.3357548985767576,-0.9157383151495977,-0.9502157231550984,-1.4715971624868844,0,88,0,2,0
S00036,-1.106891351801288,1,0,3,-1.2592747649085105,-0.4458454996583311,-1.4579277948006788,0.30592644696518273,-0.3195177141905153,0,67,2,5,1
S00037,-1.6038033497008937,0,0,3,1.2680937278166453,-0.4458454996583311,-0.9157383151495977,-1.229358427626272,-0.14670579694605992,1,95,0,3,1
S00038,0.4832270414774503,0,0,3,0.018528858508397795,-1.3366456987758755,-1.4579277948006788,-0.6710730186839248,1.1781855685947646,0,31,1,1,1
S00039,1.3776686376967406,0,2,4,-0.20032148583372464,0.44495469945921323,-0.6199985989762806,-1.5085011320974455,1.0629776237651276,2,52,3,2,0
S00040,1.4770510372766619,0,0,2,0.378572973393825,-1.3366456987758755,-1.408637842105126,0.7246405036719431,-0.9531614107535183,2,96,3,2,1
S00041,0.5826094410573714,0,2,4,-0.8286337647514309,0.44495469945921323,0.3658004549347761,-1.3689297798618587,1.0053736513503093,2,87,0,2,0
S00042,-1.2062737513812092,0,2,4,-1.3369313387073283,-0.4458454996583311,-0.5707086462807278,-0.3919303142127512,0.5445418720317616,0,68,0,4,0
S00043,1.5764334368565829,1,2,1,0.4138714160296512,0.44495469945921323,0.6122502184125402,-1.5085011320974455,-0.9531614107535183,0,69,2,3,0
S00044,-0.41121455474183993,0,1,4,1.056303072001688,1.3357548985767576,0.16864064415256474,-1.6480724843330323,1.0053736513503093,2,53,2,1,0
S00045,0.08569744315776577,0,2,0,-0.29209743668687277,0.44495469945921323,-1.6550876055828903,0.7944261797897365,1.6966213203281308,1,64,3,4,1
S00046,0.5826094410573714,2,0,0,0.6680202030075998,-1.3366456987758755,0.710830123803646,1.1433545603787034,-0.14670579694605992,0,96,0,4,1
S00047,-0.11306735600207653,1,0,2,-0.7933353221156048,-1.3366456987758755,0.2672205495436704,-1.7178581604508256,1.35099748583922,2,86,1,5,0
